displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,power_weight_ratio,power_rpm,torque_rpm,bore_mm,stroke_mm,compression_ratio,rating,year,category,cooling,transmission,fuel_system,brand
,,72.0000,128.8000,,,864.0000,1499.0000,,,,,,,,,Enduro / offroad,Air,,,
,,93.6000,,427.0000,19.5000,960.0000,1342.0000,0.2365,,,,,,,,,Liquid,Belt,Injection,Can-Am
,,16.5000,,,9.0000,799.0000,1350.0000,,,7000.0000,61.5000,58.7000,9.2000,,,,Liquid,Belt,Injection,
124.5000,9.9000,9.7000,,,6.0000,,1350.0000,,7700.0000,6000.0000,52.0000,58.6000,9.2000,,2025.0000,Scooter,Liquid,Belt,Injection,Aprilia
650.0000,40.0000,50.2000,,325.0000,19.3000,965.0000,1346.0000,0.1231,,,,,,,2025.0000,ATV,Liquid,Belt,Injection,
471.0000,47.0000,43.1000,,,17.8000,833.0000,1417.0000,,8600.0000,6500.0000,67.0000,66.8000,10.7000,,2025.0000,Enduro / offroad,Liquid,Chain,,
1083.0000,,,,,13.6300,699.0000,1519.0000,,,,92.0000,81.5000,10.1000,,,Custom / cruiser,Liquid,Chain,Injection,
,,,,,13.6300,699.0000,1518.0000,,,,92.0000,81.5000,10.1000,,,,Liquid,Chain,Injection,
,,,,92.8000,,956.0000,1493.0000,0.4310,,,54.0000,54.5000,,,,,Liquid,Chain,Injection,GAS GAS
,,11.2000,,,7.0000,880.0000,1425.0000,,,8000.0000,58.0000,47.0000,12.6000,,,,Liquid,Chain,Injection,
,,55.6000,,335.7000,19.3000,965.0000,1346.0000,0.1489,,,,,,,,,Liquid,Belt,Injection,
,,,,,13.6300,699.0000,1519.0000,,,,92.0000,81.5000,10.1000,,,,Liquid,Chain,Injection,Honda
144.0000,,,,92.8000,7.9000,956.0000,1493.0000,,,,58.0000,54.5000,,,,Cross / motocross,Liquid,Chain,Injection,
976.0000,,,,531.0000,20.4400,876.0000,,,,,91.0000,75.0000,,,,ATV,Liquid,Belt,Injection,
,,,,99.8000,7.9000,956.0000,1493.0000,,,,66.4000,72.0000,,,,,Liquid,Chain,Injection,
1083.0000,,,,,13.6000,699.0000,1519.0000,,,,92.0000,81.5000,10.1000,,2025.0000,Touring,Liquid,Chain,Injection,
,,,,101.4000,7.9000,956.0000,1493.0000,,,,81.0000,48.5000,14.5000,,,,Liquid,Chain,Injection,GAS GAS
49.0000,3.2000,3.3000,,,7.0000,775.0000,1360.0000,,7000.0000,6250.0000,39.0000,41.4000,12.1000,,2025.0000,Scooter,Air,Belt,Injection,
650.0000,,50.2000,,363.0000,19.3000,980.0000,1346.0000,0.1102,,,,,,,,ATV,Liquid,Belt,Injection,Can-Am
124.2000,14.8000,11.2000,,129.0000,14.5000,810.0000,1350.0000,0.1143,10000.0000,8000.0000,58.0000,47.0000,12.6000,,2025.0000,Naked bike,Liquid,Chain,Injection,Aprilia
850.0000,82.0000,89.5000,,386.0000,19.5000,960.0000,1342.0000,0.2124,,,,,,,2025.0000,ATV,Liquid,Belt,Injection,
,,70.0000,,,18.0000,860.0000,1525.0000,,,6500.0000,81.0000,63.9000,13.5000,,,,Liquid,Chain,Injection,
293.2000,,,,99.8000,7.9000,956.0000,1493.0000,,,,72.0000,72.0000,,,2025.0000,Cross / motocross,Liquid,Chain,Injection,GAS GAS
,,,175.0000,,11.3600,691.0000,1491.0000,,,,76.0000,63.0000,10.7000,,,,Liquid,Chain,Injection,Honda
,,43.0000,,,11.3600,690.0000,1491.0000,,,7000.0000,67.0000,66.8000,10.7000,3.0000,,,Liquid,Chain,Injection,
,,55.6000,,363.0000,19.3000,980.0000,1346.0000,0.1377,,,,,,,,,Liquid,Belt,Injection,
457.0000,,43.5000,,159.0000,13.0000,800.0000,1349.0000,0.2994,,6700.0000,69.0000,61.1000,10.5000,,,Naked bike,Liquid,Chain,Injection,
,,,,,4.9200,734.0000,1265.0000,,,,37.8000,44.0000,11.9000,,,,Liquid,Belt,Carburettor,Honda
349.7000,,,,102.2000,7.9000,956.0000,1493.0000,,,,88.0000,57.5000,14.6000,,2025.0000,Cross / motocross,Liquid,Chain,Injection,
,,23.0000,,103.0000,7.9000,956.0000,1493.0000,,,,95.0000,63.4000,13.1000,,,,Liquid,Chain,Injection,
,,67.0000,,,15.0000,820.0000,1370.0000,,,8500.0000,81.0000,63.9000,13.5000,,,,Liquid,Chain,Injection,Aprilia
,,72.0000,,177.0000,,782.0000,1412.0000,0.1525,,4600.0000,,,,,,,Liquid,Chain,,
449.9000,,23.0000,,103.0000,7.9000,956.0000,1493.0000,,,,95.0000,63.4000,13.1000,,,Cross / motocross,Liquid,Chain,Injection,
659.0000,,67.0000,,165.0000,15.0000,820.0000,1370.0000,0.6061,,8500.0000,81.0000,63.9000,13.5000,,,Sport,Liquid,Chain,Injection,
471.0000,,,,,12.1100,790.0000,1483.0000,,,,67.0000,66.8000,10.7000,,2025.0000,Sport,Liquid,Chain,Injection,
,,,,42.5000,2.3000,653.0000,1026.0000,,,,39.5000,40.7000,,,,,Liquid,Chain,Carburettor,
,27.0000,72.0000,,177.0000,,782.0000,1412.0000,0.1525,,4600.0000,,,,,2025.0000,Sport,Liquid,Chain,,Can-Am
600.0000,,49.7000,,269.9000,20.0000,599.0000,1709.0000,0.1853,,6000.0000,74.0000,69.7000,,,,Touring,Liquid,Belt,Injection,
1077.0000,,121.0000,,185.0000,17.9000,825.0000,1452.0000,0.9459,,9000.0000,81.0000,52.3000,13.6000,,,Sport touring,Liquid,Chain,Injection,
745.0000,,,,,14.0000,650.0000,1638.0000,,,,79.0000,76.0000,9.6000,,,Custom / cruiser,Liquid,Shaft,Injection,
,,,,,14.7600,650.0000,1638.0000,,,,79.0000,76.0000,9.6000,,,,Liquid,Shaft,Injection,
,,121.0000,,185.0000,18.5000,825.0000,1452.0000,0.9459,,9000.0000,81.0000,52.3000,13.6000,,,,Liquid,Chain,Injection,Aprilia
64.9000,,,,53.5000,4.5000,730.0000,1142.0000,,,,45.0000,40.8000,,,,"Minibike, cross",Liquid,Chain,Carburettor,GAS GAS
,,85.0000,,68.0000,5.4000,845.0000,1282.0000,,,2025.0000,47.0000,49.0000,,,,,Liquid,Chain,Carburettor,
,,79.1000,,280.0000,20.0000,597.0000,1709.0000,0.2929,,6500.0000,74.0000,69.7000,,,,,Liquid,Belt,Injection,Can-Am
1330.0000,115.0000,130.1000,,408.0000,27.0000,675.0000,1709.0000,0.2819,7250.0000,5000.0000,84.0000,80.0000,12.2000,,2025.0000,Touring,Liquid,Belt,Injection,
1077.0000,175.0000,121.0000,,185.0000,18.5000,825.0000,1452.0000,0.9459,11350.0000,9000.0000,81.0000,52.3000,13.6000,,2025.0000,Sport touring,Liquid,Chain,Injection,
84.9000,,85.0000,,69.0000,5.0000,871.0000,1282.0000,,,2025.0000,47.0000,49.0000,,,2025.0000,Cross / motocross,Liquid,Chain,Carburettor,
,,156.4000,,270.3000,18.9300,706.0000,1727.0000,0.4439,,,104.8000,117.5000,10.8000,,,,,Chain,Injection,
124.7000,,11.0000,,128.0000,10.0000,,1271.0000,0.0859,,6500.0000,,,,,,Sport,Air,Chain,Carburettor,Honda
124.7000,10.1000,10.5000,,,10.5000,791.0000,1266.0000,,7500.0000,5500.0000,52.4000,57.9000,10.0000,,2025.0000,Allround,Air,Chain,Carburettor,
,,130.1000,,449.0000,26.5000,775.0000,1714.0000,0.2561,,5000.0000,84.0000,80.0000,12.2000,,,,Liquid,Belt,Injection,
,1.0000,10.5000,33.0000,27.0000,,470.0000,,0.0374,,,,,,,2025.0000,"Minibike, cross",Air,Chain,,
49.5000,,,,117.9000,6.4300,620.0000,,,,,,,,,2025.0000,Scooter,Air,Belt,Carburettor,
,,11.2000,,128.0000,13.0000,,1271.0000,0.0906,,6250.0000,,,,,,,Air,Chain,Carburettor,
150.0000,,,,158.8000,6.5000,,1349.0000,,,,,,,,,Scooter,Air,Belt,Carburettor,
600.0000,55.0000,50.0000,,147.0000,14.0000,790.0000,1455.0000,0.3741,,5500.0000,100.0000,76.5000,12.0000,,2025.0000,Naked bike,Liquid,Chain,Injection,CCM
,,,,67.9000,2.4000,630.0000,1320.0000,,,,72.5000,60.0000,11.0000,,,,Liquid,Chain,Carburettor,GAS GAS
,,50.0000,,146.0000,14.0000,790.0000,1455.0000,0.3767,,5500.0000,100.0000,76.5000,12.0000,,,,Liquid,Chain,Injection,
,,11.8000,,,3.7900,780.0000,1242.0000,,,6500.0000,50.0000,63.0000,10.0000,,,,Air,Belt,Injection,Honda
294.1000,,,,67.9000,2.4000,630.0000,1320.0000,,,,79.0000,60.0000,10.4000,,,Trial,Liquid,Chain,Carburettor,
150.0000,,,,158.8000,6.3000,759.0000,1351.0000,,,,,,,,2025.0000,Scooter,Air,Belt,Carburettor,Ascend
124.0000,,,,116.1000,5.3000,800.0000,1257.0000,,,,50.0000,63.1000,9.3000,,,Allround,Air,Chain,Injection,
292.0000,,25.4000,139.0000,,12.5000,792.0000,1360.0000,,,7250.0000,78.0000,61.2000,11.0000,,,Naked bike,Liquid,Chain,Injection,CF Moto
,,,,66.7000,2.4000,630.0000,1320.0000,,,,54.0000,54.5000,11.8000,,,,Liquid,Chain,Carburettor,
276.0000,,,,204.1000,14.0000,780.0000,1585.0000,,,,,,,,2025.0000,Scooter,Liquid,Belt,Injection,
755.0000,,,,,17.0300,856.0000,1562.0000,,,,87.0000,63.5000,10.0000,,2025.0000,Super motard,Liquid,Chain,Injection,
,,27.0000,139.0000,,12.0000,780.0000,1360.0000,,,6500.0000,78.0000,61.2000,11.0000,,,,Liquid,Chain,Injection,
247.7000,,,,69.4000,2.4000,630.0000,1320.0000,,,,72.5000,60.0000,11.0000,,2025.0000,Trial,Liquid,Chain,Carburettor,GAS GAS
,,,,120.2000,8.2000,780.0000,1351.0000,,,,,,,,,,Air,Belt,Carburettor,
,,,,69.4000,2.4000,630.0000,1320.0000,,,,76.0000,60.0000,,,,,Liquid,Chain,Carburettor,
,,14.0000,,,13.0000,798.0000,1340.0000,,,5500.0000,57.3000,63.1000,10.0000,,,,Air,Chain,Injection,
449.5000,49.6000,39.0000,155.0000,,14.0000,,1370.0000,,9500.0000,7600.0000,72.0000,,11.1000,,2025.0000,Naked bike,Liquid,Chain,Injection,
,,40.7000,,,12.1000,686.0000,1485.0000,,,6250.0000,72.0000,55.2000,,,,,Liquid,Belt,Injection,CF Moto
149.1000,14.0000,14.0000,,,12.0000,798.0000,1328.0000,,8500.0000,6500.0000,,,10.0000,,2025.0000,Allround,Air,Chain,Injection,
200.0000,,,,204.1000,4.5000,770.0000,1321.0000,,,,,,,,,Scooter,Air,Belt,Injection,
294.1000,,300.0000,,69.4000,2.4000,630.0000,1320.0000,0.4444,,,79.0000,60.0000,9.6000,,,Trial,Liquid,Chain,Carburettor,
,,12.5000,,,12.0000,810.0000,1359.0000,,,6000.0000,57.3000,57.8000,9.5000,,,,Air,Chain,Carburettor,
,,,48.3000,93.0000,,762.0000,,0.0215,,,37.0000,46.0000,12.0000,,,,Air,Shaft,Injection,Genuine Scooter
449.0000,,39.1000,139.0000,,14.0000,795.0000,1367.0000,,,7600.0000,78.0000,61.2000,11.0000,,,Sport,Liquid,Chain,Injection,
644.0000,,,,,10.6000,940.0000,1455.0000,,,,100.0000,82.0000,8.3000,,,Enduro / offroad,Air,Chain,Carburettor,Honda
,,,,204.1000,8.5000,780.0000,1290.0000,,,,,,,,,,Air,Belt,,
,,,,158.8000,7.5000,,1310.0000,,,,,,,,,,Air,Belt,Carburettor,Ascend
124.9000,9.7000,,80.5000,99.8000,,762.0000,1207.0000,0.0972,,,51.5000,60.0000,9.2000,,2025.0000,Scooter,Air,Belt,Carburettor,
,,,200.0000,,,790.0000,,,,,,,,,,,,,,Horwin
,,70.0000,,,15.1400,810.0000,1400.0000,,,8250.0000,72.0000,55.2000,,,,,Liquid,Chain,Injection,
,,,,204.1000,10.5000,770.0000,1374.0000,,,,,,,,,,Air,Belt,Injection,Ascend
,,,88.5000,,5.6800,749.0000,1207.0000,,,,61.0000,57.8000,10.5000,,,,Air,Belt,Injection,
,,81.0000,,,15.0000,780.0000,1468.0000,,,8000.0000,88.0000,65.7000,11.3000,,,,Liquid,Chain,Injection,
,,,,,,470.0000,,,,,,,,,,"Minibike, cross",Air,Chain,,
,,26.0000,100.0000,,,780.0000,1295.0000,,,,,,,,,,Air,Belt,,
963.0000,,62.0000,,442.3000,26.1200,559.0000,1473.0000,0.1899,,5500.0000,,,,,,ATV,Liquid,,Injection,
49.7000,,,48.3000,,6.2800,756.0000,1209.0000,,,,40.0000,39.2000,6.8000,,,Scooter,Air,Shaft,Carburettor,Genuine Scooter
,,13.8000,,40.5000,,647.0000,1028.0000,0.0662,,,,,,,,"Minibike, cross",Liquid,Chain,,
,,62.0000,,442.3000,26.1200,559.0000,1473.0000,0.1899,,5500.0000,,,,,,,Liquid,,Injection,CF Moto
72.0000,,,,82.0000,8.6000,,,,,,47.0000,41.4000,9.3000,,2025.0000,Allround,Air,Chain,Carburettor,
,,,48.3000,,6.4300,756.0000,1209.0000,,,,,,6.8000,,,,Air,Shaft,Carburettor,
,,,,101.2000,7.2000,946.0000,1490.0000,0.4545,,,81.0000,48.5000,14.5000,,,,Liquid,Chain,Injection,
,,13.7000,,,13.0000,737.0000,1490.0000,,,7000.0000,,,9.8000,,,,Air,Chain,Injection,Bajaj
400.0000,30.0000,29.8000,,331.1000,17.0300,508.0000,1270.0000,0.0906,7200.0000,6000.0000,,,,,2025.0000,ATV,Liquid,,Injection,
168.9000,11.2000,,96.6000,126.1000,,781.0000,1285.0000,0.0888,,,,,11.2000,,2025.0000,Scooter,Air,Belt,Injection,
,,,,102.0000,7.2000,946.0000,1490.0000,0.5686,,,88.0000,57.5000,14.6000,,,,Liquid,Chain,Injection,
,,39.3000,,323.4000,17.0300,508.0000,1270.0000,0.1051,,6000.0000,,,,,,,Liquid,,Injection,
,,17.5000,,,13.0000,737.0000,1490.0000,,,7000.0000,,,,,,,Oil & air,Chain,Injection,
,,,80.5000,,6.4300,,1321.0000,,,,,,,,,,Air,Shaft,Carburettor,Genuine Scooter
,,,,102.0000,7.2000,946.0000,1490.0000,0.5686,,,88.0000,57.5000,14.6000,,,,Liquid,Chain,Injection,
220.0000,,17.5000,,,13.0000,,1490.0000,,,7000.0000,,,,,,Sport,Oil & air,Chain,Injection,
580.0000,,50.2000,,341.6000,17.9800,533.0000,1283.0000,0.1288,,6000.0000,,,,,,ATV,Liquid,,Injection,CF Moto
168.9000,,,96.6000,,6.0600,,,,,,61.0000,57.8000,9.8000,,,Scooter,Air,Shaft,Injection,
449.9000,,,,102.8000,7.2000,946.0000,1490.0000,0.6128,,,95.0000,63.4000,13.6000,,,Cross / motocross,Liquid,Chain,Injection,Husqvarna
115.5000,,9.8000,90.0000,,11.0000,,1285.0000,,,5000.0000,50.0000,58.8000,,,,Allround,Air,Chain,Injection,
,,50.2000,,391.5000,17.9800,533.0000,1473.0000,0.1124,,6000.0000,,,,,,,Liquid,,Injection,
,,,48.3000,,4.9200,794.0000,1173.0000,,,,40.0000,39.2000,6.8000,,,,Air,Shaft,Carburettor,
,,,,108.6000,8.0000,952.0000,1482.0000,0.4236,,,81.0000,48.5000,14.4000,,,,Liquid,Chain,Injection,
248.8000,26.6000,23.5000,,,13.0000,800.0000,1453.0000,,8500.0000,6500.0000,,,,,2025.0000,Allround,Liquid,Chain,Injection,
800.0000,70.0000,69.2000,,435.5000,26.1200,559.0000,1473.0000,0.1608,7500.0000,5500.0000,,,,,2025.0000,ATV,Liquid,,Injection,
49.7000,2.0000,,48.3000,,5.0700,794.0000,1173.0000,,,,40.0000,39.2000,6.8000,,2025.0000,Scooter,Air,Belt,Carburettor,Genuine Scooter
,,35.0000,,,13.0000,,1453.0000,,,6500.0000,,,,,,,Liquid,Chain,Injection,
349.7000,,,,110.9000,8.0000,952.0000,1489.0000,,,,88.0000,57.5000,13.7000,,2025.0000,Enduro / offroad,Liquid,Chain,Injection,
,,7.0000,49.9000,49.0000,,551.0000,953.0000,0.0410,,,,,,,,,,,,
