displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,bore_mm,stroke_mm,compression_ratio,power_weight_ratio,power_rpm,category,cooling,transmission,fuel_system,brand,rating,year
895.0000,,,210.0000,218.0000,17.0000,825.0000,1580.0000,,,11.5000,0.4306,,Super motard,Liquid,Chain,Injection,,,
249.9000,,18.0000,,108.0000,6.7000,890.0000,1364.0000,72.0000,61.4000,9.3000,0.1738,,Enduro / offroad,Air,Chain,Carburettor,Kayo,,
1160.0000,,130.0000,,262.0000,30.0000,877.0000,1560.0000,89.9000,60.5000,13.2000,0.5611,,Allround,Liquid,Shaft,Injection,Triumph,,
293.2000,,,,101.8000,9.0000,954.0000,1493.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
292.0000,,,125.0000,150.0000,11.0000,905.0000,1430.0000,,,,0.1877,,Allround,Air,Chain,Injection,,3.6000,
243.0000,,,,68.0000,3.5000,755.0000,1155.0000,,,,,,Enduro / offroad,Liquid,Chain,Carburettor,Xmotos,,2025.0000
169.0000,11.8000,12.5000,104.6000,104.8000,5.1900,762.0000,1310.0000,,,10.2000,0.1126,7500.0000,Scooter,Air,Belt,Injection,Lance,,2025.0000
200.0000,11.3000,9.5000,90.0000,98.0000,12.5000,,1910.0000,,,,0.1153,7500.0000,Allround,Air,Chain,Carburettor,Serpento,,2025.0000
292.0000,33.0000,28.4000,,137.0000,7.9500,894.0000,1440.0000,78.0000,61.2000,11.1000,0.2408,8500.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
125.0000,9.5000,9.2000,,148.0000,10.0000,770.0000,1390.0000,52.4000,57.8000,10.5000,0.0642,7500.0000,Scooter,Liquid,Belt,Injection,,,2025.0000
125.0000,15.0000,,,112.0000,6.0000,876.0000,1380.0000,52.0000,58.7000,,0.1339,,Super motard,Liquid,Chain,Injection,,,2025.0000
